Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size						epoch	train mAP	test mAP
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:12<00:00,"	1.80s/it]				
	all	1086	2161	0.951	0.92	0.976	0.83							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
41_()	14.1G	0.827	0.5288	1.04	152	320:00:00	100% 63/63	[01:	"38<00:00,  1.57s/it]"			41_()	0.989	0.975
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:07<00:00,"	2.10s/it]				
	all	5292	10764	0.966	0.964	0.989	0.849							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:12<00:00,"	1.75s/it]				
	all	1086	2161	0.95	0.932	0.975	0.835							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
42_()	14.1G	0.8266	0.5315	1.037	115	320:00:00	100% 63/63	[01:	"41<00:00,  1.61s/it]"			42_()	0.991	0.975
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:04<00:00,"	2.02s/it]				
	all	5292	10764	0.971	0.963	0.991	0.846							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:14<00:00,"	2.04s/it]				
	all	1086	2161	0.955	0.922	0.975	0.829							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
43_()	14.1G	0.8256	0.5334	1.037	121	320:00:00	100% 63/63	[01:	"42<00:00,  1.62s/it]"			43_()	0.99	0.971
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:05<00:00,"	2.06s/it]				
	all	5292	10764	0.965	0.963	0.99	0.844							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:13<00:00,"	1.91s/it]				
	all	1086	2161	0.933	0.925	0.971	0.827							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
44_()	14.1G	0.8158	0.5192	1.042	111	320:00:00	100% 63/63	[01:	"37<00:00,  1.55s/it]"			44_()	0.99	0.976
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:03<00:00,"	1.98s/it]				
	all	5292	10764	0.969	0.966	0.99	0.85							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:14<00:00,"	2.01s/it]				
	all	1086	2161	0.952	0.935	0.976	0.831							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
45_()	14.1G	0.8175	0.5097	1.039	87	320:00:00	100% 63/63	[01:	"39<00:00,  1.58s/it]"			45_()	0.992	0.975
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:03<00:00,"	2.00s/it]				
	all	5292	10764	0.97	0.972	0.992	0.852							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:13<00:00,"	1.97s/it]				
	all	1086	2161	0.932	0.94	0.975	0.836							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
46_()	14.1G	0.8133	0.5097	1.026	92	320:00:00	100% 63/63	[01:	"41<00:00,  1.61s/it]"			46_()	0.99	0.977
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:06<00:00,"	2.08s/it]				
	all	5292	10764	0.968	0.965	0.99	0.856							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:12<00:00,"	1.77s/it]				
	all	1086	2161	0.948	0.933	0.977	0.836							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
47_()	14.1G	0.8186	0.5239	1.032	138	320:00:00	100% 63/63	[01:	"39<00:00,  1.59s/it]"			47_()	0.991	0.975
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:04<00:00,"	2.03s/it]				
	all	5292	10764	0.974	0.967	0.991	0.857							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:14<00:00,"	2.08s/it]				
	all	1086	2161	0.934	0.933	0.975	0.836							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
48_()	14.1G	0.8088	0.5032	1.031	80	320:00:00	100% 63/63	[01:	"36<00:00,  1.54s/it]"			48_()	0.992	0.98
results_train														
